arch_config,gpu latency,cpu latency
"{'wid': None, 'ks': [5, 5, 7, 7, 7, 7, 3, 3, 7, 3, 5, 3, 5, 5, 7, 5, 3, 3, 5, 5], 'e': [3, 3, 3, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 4, 4, 4, 3, 4, 3, 6], 'd': [3, 4, 2, 2, 2], 'r': [160]}",15.33,104.15
"{'wid': None, 'ks': [5, 5, 7, 7, 7, 7, 3, 3, 7, 3, 5, 3, 5, 5, 7, 5, 3, 3, 5, 5], 'e': [3, 3, 3, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 4, 4, 4, 3, 4, 3, 6], 'd': [3, 4, 2, 2, 2], 'r': [176]}",15.47,107.57
"{'wid': None, 'ks': [5, 5, 7, 7, 7, 7, 3, 3, 7, 3, 5, 3, 5, 5, 7, 5, 3, 3, 5, 5], 'e': [3, 3, 3, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 4, 4, 4, 3, 4, 3, 6], 'd': [3, 4, 2, 2, 2], 'r': [192]}",14.45,116.51
"{'wid': None, 'ks': [5, 5, 7, 7, 7, 7, 3, 3, 7, 3, 5, 3, 5, 5, 7, 5, 3, 3, 5, 5], 'e': [3, 3, 3, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 4, 4, 4, 3, 4, 3, 6], 'd': [3, 4, 2, 2, 2], 'r': [208]}",14.43,119.84
"{'wid': None, 'ks': [5, 5, 7, 7, 7, 7, 3, 3, 7, 3, 5, 3, 5, 5, 7, 5, 3, 3, 5, 5], 'e': [3, 3, 3, 4, 3, 4, 3, 6, 4, 6, 4, 6, 6, 4, 4, 4, 3, 4, 3, 6], 'd': [3, 4, 2, 2, 2], 'r': [224]}",13.1,124.37
"{'wid': None, 'ks': [7, 3, 5, 3, 5, 7, 3, 5, 5, 5, 7, 3, 7, 3, 7, 3, 5, 5, 3, 5], 'e': [3, 3, 4, 6, 3, 6, 4, 6, 6, 3, 4, 3, 6, 4, 6, 6, 3, 4, 3, 4], 'd': [3, 4, 3, 2, 2], 'r': [160]}",13.86,78.66
"{'wid': None, 'ks': [7, 3, 5, 3, 5, 7, 3, 5, 5, 5, 7, 3, 7, 3, 7, 3, 5, 5, 3, 5], 'e': [3, 3, 4, 6, 3, 6, 4, 6, 6, 3, 4, 3, 6, 4, 6, 6, 3, 4, 3, 4], 'd': [3, 4, 3, 2, 2], 'r': [176]}",13.85,90.18
"{'wid': None, 'ks': [7, 3, 5, 3, 5, 7, 3, 5, 5, 5, 7, 3, 7, 3, 7, 3, 5, 5, 3, 5], 'e': [3, 3, 4, 6, 3, 6, 4, 6, 6, 3, 4, 3, 6, 4, 6, 6, 3, 4, 3, 4], 'd': [3, 4, 3, 2, 2], 'r': [192d]}",12.9,77.38
"{'wid': None, 'ks': [7, 3, 5, 3, 5, 7, 3, 5, 5, 5, 7, 3, 7, 3, 7, 3, 5, 5, 3, 5], 'e': [3, 3, 4, 6, 3, 6, 4, 6, 6, 3, 4, 3, 6, 4, 6, 6, 3, 4, 3, 4], 'd': [3, 4, 3, 2, 2], 'r': [208]}",13.45,120.45
"{'wid': None, 'ks': [7, 3, 5, 3, 5, 7, 3, 5, 5, 5, 7, 3, 7, 3, 7, 3, 5, 5, 3, 5], 'e': [3, 3, 4, 6, 3, 6, 4, 6, 6, 3, 4, 3, 6, 4, 6, 6, 3, 4, 3, 4], 'd': [3, 4, 3, 2, 2], 'r': [224]}",13.64,112.45
"{'wid': None, 'ks': [3, 3, 3, 3, 7, 5, 3, 5, 7, 3, 3, 7, 5, 7, 7, 3, 7, 3, 7, 7], 'e': [3, 6, 4, 4, 3, 3, 6, 4, 3, 3, 3, 4, 3, 3, 4, 3, 6, 6, 4, 6], 'd': [2, 4, 2, 4, 3], 'r': [160]}",14.95,105.1
"{'wid': None, 'ks': [3, 3, 3, 3, 7, 5, 3, 5, 7, 3, 3, 7, 5, 7, 7, 3, 7, 3, 7, 7], 'e': [3, 6, 4, 4, 3, 3, 6, 4, 3, 3, 3, 4, 3, 3, 4, 3, 6, 6, 4, 6], 'd': [2, 4, 2, 4, 3], 'r': [176]}",16.21,135.64
"{'wid': None, 'ks': [3, 3, 3, 3, 7, 5, 3, 5, 7, 3, 3, 7, 5, 7, 7, 3, 7, 3, 7, 7], 'e': [3, 6, 4, 4, 3, 3, 6, 4, 3, 3, 3, 4, 3, 3, 4, 3, 6, 6, 4, 6], 'd': [2, 4, 2, 4, 3], 'r': [192]}",17.59,99.54
"{'wid': None, 'ks': [3, 3, 3, 3, 7, 5, 3, 5, 7, 3, 3, 7, 5, 7, 7, 3, 7, 3, 7, 7], 'e': [3, 6, 4, 4, 3, 3, 6, 4, 3, 3, 3, 4, 3, 3, 4, 3, 6, 6, 4, 6], 'd': [2, 4, 2, 4, 3], 'r': [208]}",20.2,121.72
"{'wid': None, 'ks': [3, 3, 3, 3, 7, 5, 3, 5, 7, 3, 3, 7, 5, 7, 7, 3, 7, 3, 7, 7], 'e': [3, 6, 4, 4, 3, 3, 6, 4, 3, 3, 3, 4, 3, 3, 4, 3, 6, 6, 4, 6], 'd': [2, 4, 2, 4, 3], 'r': [224]}",16.64,119.6
"{'wid': None, 'ks': [5, 5, 5, 3, 3, 3, 5, 5, 5, 5, 3, 5, 3, 7, 5, 5, 5, 5, 5, 3], 'e': [6, 4, 6, 4, 6, 4, 4, 3, 4, 6, 3, 6, 3, 4, 4, 3, 3, 3, 4, 4], 'd': [4, 2, 4, 2, 3], 'r': [160]}",13.6,85.13
"{'wid': None, 'ks': [5, 5, 5, 3, 3, 3, 5, 5, 5, 5, 3, 5, 3, 7, 5, 5, 5, 5, 5, 3], 'e': [6, 4, 6, 4, 6, 4, 4, 3, 4, 6, 3, 6, 3, 4, 4, 3, 3, 3, 4, 4], 'd': [4, 2, 4, 2, 3], 'r': [176]}",13.48,100.27
"{'wid': None, 'ks': [5, 5, 5, 3, 3, 3, 5, 5, 5, 5, 3, 5, 3, 7, 5, 5, 5, 5, 5, 3], 'e': [6, 4, 6, 4, 6, 4, 4, 3, 4, 6, 3, 6, 3, 4, 4, 3, 3, 3, 4, 4], 'd': [4, 2, 4, 2, 3], 'r': [192]}",15.41,133.74
"{'wid': None, 'ks': [5, 5, 5, 3, 3, 3, 5, 5, 5, 5, 3, 5, 3, 7, 5, 5, 5, 5, 5, 3], 'e': [6, 4, 6, 4, 6, 4, 4, 3, 4, 6, 3, 6, 3, 4, 4, 3, 3, 3, 4, 4], 'd': [4, 2, 4, 2, 3], 'r': [208]}",15.21,103.48
"{'wid': None, 'ks': [5, 5, 5, 3, 3, 3, 5, 5, 5, 5, 3, 5, 3, 7, 5, 5, 5, 5, 5, 3], 'e': [6, 4, 6, 4, 6, 4, 4, 3, 4, 6, 3, 6, 3, 4, 4, 3, 3, 3, 4, 4], 'd': [4, 2, 4, 2, 3], 'r': [224]}",15.78,128.42
"{'wid': None, 'ks': [5, 5, 7, 3, 3, 3, 3, 7, 5, 3, 5, 5, 3, 5, 3, 7, 7, 5, 3, 3], 'e': [3, 4, 4, 3, 6, 4, 6, 6, 3, 3, 3, 6, 3, 3, 6, 3, 6, 6, 6, 6], 'd': [2, 2, 2, 3, 3], 'r': [160]}",13.15,57.75
"{'wid': None, 'ks': [5, 5, 7, 3, 3, 3, 3, 7, 5, 3, 5, 5, 3, 5, 3, 7, 7, 5, 3, 3], 'e': [3, 4, 4, 3, 6, 4, 6, 6, 3, 3, 3, 6, 3, 3, 6, 3, 6, 6, 6, 6], 'd': [2, 2, 2, 3, 3], 'r': [176]}",12.79,90.83
"{'wid': None, 'ks': [5, 5, 7, 3, 3, 3, 3, 7, 5, 3, 5, 5, 3, 5, 3, 7, 7, 5, 3, 3], 'e': [3, 4, 4, 3, 6, 4, 6, 6, 3, 3, 3, 6, 3, 3, 6, 3, 6, 6, 6, 6], 'd': [2, 2, 2, 3, 3], 'r': [192]}",14.98,109.14
"{'wid': None, 'ks': [5, 5, 7, 3, 3, 3, 3, 7, 5, 3, 5, 5, 3, 5, 3, 7, 7, 5, 3, 3], 'e': [3, 4, 4, 3, 6, 4, 6, 6, 3, 3, 3, 6, 3, 3, 6, 3, 6, 6, 6, 6], 'd': [2, 2, 2, 3, 3], 'r': [208]}",14.05,137.28
